id,name,hp,attack,defense,speed,image_url,created_at,updated_at
1,bulbasaur,45,49,49,45,http://assets.pokemon.com/assets/cms2/img/pokedex/full/001.png,current_timestamp,current_timestamp
2,ivysaur,60,62,63,60,http://assets.pokemon.com/assets/cms2/img/pokedex/full/002.png,current_timestamp,current_timestamp
3,venusaur,80,82,83,80,http://assets.pokemon.com/assets/cms2/img/pokedex/full/003.png,current_timestamp,current_timestamp
4,venusaur-mega,80,100,123,80,http://assets.pokemon.com/assets/cms2/img/pokedex/full/003_f2.png,current_timestamp,current_timestamp
5,charmander,39,52,43,65,http://assets.pokemon.com/assets/cms2/img/pokedex/full/004.png,current_timestamp,current_timestamp
6,charmeleon,58,64,58,80,http://assets.pokemon.com/assets/cms2/img/pokedex/full/005.png,current_timestamp,current_timestamp
7,charizard,78,84,78,100,http://assets.pokemon.com/assets/cms2/img/pokedex/full/006.png,current_timestamp,current_timestamp
8,charizard-mega-x,78,130,111,100,http://assets.pokemon.com/assets/cms2/img/pokedex/full/006_f2.png,current_timestamp,current_timestamp
9,charizard-mega-y,78,104,78,100,http://assets.pokemon.com/assets/cms2/img/pokedex/full/006_f3.png,current_timestamp,current_timestamp
10,squirtle,44,48,65,43,http://assets.pokemon.com/assets/cms2/img/pokedex/full/007.png,current_timestamp,current_timestamp
11,wartortle,59,63,80,58,http://assets.pokemon.com/assets/cms2/img/pokedex/full/008.png,current_timestamp,current_timestamp
12,blastoise,79,83,100,78,http://assets.pokemon.com/assets/cms2/img/pokedex/full/009.png,current_timestamp,current_timestamp
13,blastoise-mega,79,103,120,78,http://assets.pokemon.com/assets/cms2/img/pokedex/full/009_f2.png,current_timestamp,current_timestamp
14,caterpie,45,30,35,45,http://assets.pokemon.com/assets/cms2/img/pokedex/full/010.png,current_timestamp,current_timestamp
15,metapod,50,20,55,30,http://assets.pokemon.com/assets/cms2/img/pokedex/full/011.png,current_timestamp,current_timestamp
16,butterfree,60,45,50,70,http://assets.pokemon.com/assets/cms2/img/pokedex/full/012.png,current_timestamp,current_timestamp
17,weedle,40,35,30,50,http://assets.pokemon.com/assets/cms2/img/pokedex/full/013.png,current_timestamp,current_timestamp
18,kakuna,45,25,50,35,http://assets.pokemon.com/assets/cms2/img/pokedex/full/014.png,current_timestamp,current_timestamp
19,beedrill,65,90,40,75,http://assets.pokemon.com/assets/cms2/img/pokedex/full/015.png,current_timestamp,current_timestamp
20,beedrill-mega,65,150,40,145,http://assets.pokemon.com/assets/cms2/img/pokedex/full/015_f2.png,current_timestamp,current_timestamp
21,pidgey,40,45,40,56,http://assets.pokemon.com/assets/cms2/img/pokedex/full/016.png,current_timestamp,current_timestamp
22,pidgeotto,63,60,55,71,http://assets.pokemon.com/assets/cms2/img/pokedex/full/017.png,current_timestamp,current_timestamp
23,pidgeot,83,80,75,101,http://assets.pokemon.com/assets/cms2/img/pokedex/full/018.png,current_timestamp,current_timestamp
24,pidgeot-mega,83,80,80,121,http://assets.pokemon.com/assets/cms2/img/pokedex/full/018_f2.png,current_timestamp,current_timestamp
25,rattata,30,56,35,72,http://assets.pokemon.com/assets/cms2/img/pokedex/full/019.png,current_timestamp,current_timestamp
26,raticate,55,81,60,97,http://assets.pokemon.com/assets/cms2/img/pokedex/full/020.png,current_timestamp,current_timestamp
27,spearow,40,60,30,70,http://assets.pokemon.com/assets/cms2/img/pokedex/full/021.png,current_timestamp,current_timestamp
28,fearow,65,90,65,100,http://assets.pokemon.com/assets/cms2/img/pokedex/full/022.png,current_timestamp,current_timestamp
29,ekans,35,60,44,55,http://assets.pokemon.com/assets/cms2/img/pokedex/full/023.png,current_timestamp,current_timestamp
30,arbok,60,85,69,80,http://assets.pokemon.com/assets/cms2/img/pokedex/full/024.png,current_timestamp,current_timestamp
31,pikachu,35,55,40,90,http://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,current_timestamp,current_timestamp
32,raichu,60,90,55,110,http://assets.pokemon.com/assets/cms2/img/pokedex/full/026.png,current_timestamp,current_timestamp
33,sandshrew,50,75,85,40,http://assets.pokemon.com/assets/cms2/img/pokedex/full/027.png,current_timestamp,current_timestamp
34,sandslash,75,100,110,65,http://assets.pokemon.com/assets/cms2/img/pokedex/full/028.png,current_timestamp,current_timestamp
35,nidoran-f,55,47,52,41,http://assets.pokemon.com/assets/cms2/img/pokedex/full/029.png,current_timestamp,current_timestamp
36,nidorina,70,62,67,56,http://assets.pokemon.com/assets/cms2/img/pokedex/full/030.png,current_timestamp,current_timestamp
37,nidoqueen,90,92,87,76,http://assets.pokemon.com/assets/cms2/img/pokedex/full/031.png,current_timestamp,current_timestamp
38,nidoran-m,46,57,40,50,http://assets.pokemon.com/assets/cms2/img/pokedex/full/032.png,current_timestamp,current_timestamp
39,nidorino,61,72,57,65,http://assets.pokemon.com/assets/cms2/img/pokedex/full/033.png,current_timestamp,current_timestamp
40,nidoking,81,102,77,85,http://assets.pokemon.com/assets/cms2/img/pokedex/full/034.png,current_timestamp,current_timestamp
41,clefairy,70,45,48,35,http://assets.pokemon.com/assets/cms2/img/pokedex/full/035.png,current_timestamp,current_timestamp
42,clefable,95,70,73,60,http://assets.pokemon.com/assets/cms2/img/pokedex/full/036.png,current_timestamp,current_timestamp
43,vulpix,38,41,40,65,http://assets.pokemon.com/assets/cms2/img/pokedex/full/037.png,current_timestamp,current_timestamp
44,ninetales,73,76,75,100,http://assets.pokemon.com/assets/cms2/img/pokedex/full/038.png,current_timestamp,current_timestamp
45,jigglypuff,115,45,20,20,http://assets.pokemon.com/assets/cms2/img/pokedex/full/039.png,current_timestamp,current_timestamp
46,wigglytuff,140,70,45,45,http://assets.pokemon.com/assets/cms2/img/pokedex/full/040.png,current_timestamp,current_timestamp
47,zubat,40,45,35,55,http://assets.pokemon.com/assets/cms2/img/pokedex/full/041.png,current_timestamp,current_timestamp
48,golbat,75,80,70,90,http://assets.pokemon.com/assets/cms2/img/pokedex/full/042.png,current_timestamp,current_timestamp
49,oddish,45,50,55,30,http://assets.pokemon.com/assets/cms2/img/pokedex/full/043.png,current_timestamp,current_timestamp
50,gloom,60,65,70,40,http://assets.pokemon.com/assets/cms2/img/pokedex/full/044.png,current_timestamp,current_timestamp
51,vileplume,75,80,85,50,http://assets.pokemon.com/assets/cms2/img/pokedex/full/045.png,current_timestamp,current_timestamp
52,paras,35,70,55,25,http://assets.pokemon.com/assets/cms2/img/pokedex/full/046.png,current_timestamp,current_timestamp
53,parasect,60,95,80,30,http://assets.pokemon.com/assets/cms2/img/pokedex/full/047.png,current_timestamp,current_timestamp
54,venonat,60,55,50,45,http://assets.pokemon.com/assets/cms2/img/pokedex/full/048.png,current_timestamp,current_timestamp
55,venomoth,70,65,60,90,http://assets.pokemon.com/assets/cms2/img/pokedex/full/049.png,current_timestamp,current_timestamp
56,diglett,10,55,25,95,http://assets.pokemon.com/assets/cms2/img/pokedex/full/050.png,current_timestamp,current_timestamp
57,dugtrio,35,80,50,120,http://assets.pokemon.com/assets/cms2/img/pokedex/full/051.png,current_timestamp,current_timestamp
58,meowth,40,45,35,90,http://assets.pokemon.com/assets/cms2/img/pokedex/full/052.png,current_timestamp,current_timestamp
59,persian,65,70,60,115,http://assets.pokemon.com/assets/cms2/img/pokedex/full/053.png,current_timestamp,current_timestamp
60,psyduck,50,52,48,55,http://assets.pokemon.com/assets/cms2/img/pokedex/full/054.png,current_timestamp,current_timestamp
61,golduck,80,82,78,85,http://assets.pokemon.com/assets/cms2/img/pokedex/full/055.png,current_timestamp,current_timestamp
62,mankey,40,80,35,70,http://assets.pokemon.com/assets/cms2/img/pokedex/full/056.png,current_timestamp,current_timestamp
63,primeape,65,105,60,95,http://assets.pokemon.com/assets/cms2/img/pokedex/full/057.png,current_timestamp,current_timestamp
64,growlithe,55,70,45,60,http://assets.pokemon.com/assets/cms2/img/pokedex/full/058.png,current_timestamp,current_timestamp
65,arcanine,90,110,80,95,http://assets.pokemon.com/assets/cms2/img/pokedex/full/059.png,current_timestamp,current_timestamp
66,poliwag,40,50,40,90,http://assets.pokemon.com/assets/cms2/img/pokedex/full/060.png,current_timestamp,current_timestamp
67,poliwhirl,65,65,65,90,http://assets.pokemon.com/assets/cms2/img/pokedex/full/061.png,current_timestamp,current_timestamp
68,poliwrath,90,95,95,70,http://assets.pokemon.com/assets/cms2/img/pokedex/full/062.png,current_timestamp,current_timestamp
69,abra,25,20,15,90,http://assets.pokemon.com/assets/cms2/img/pokedex/full/063.png,current_timestamp,current_timestamp
70,kadabra,40,35,30,105,http://assets.pokemon.com/assets/cms2/img/pokedex/full/064.png,current_timestamp,current_timestamp
71,alakazam,55,50,45,120,http://assets.pokemon.com/assets/cms2/img/pokedex/full/065.png,current_timestamp,current_timestamp
72,alakazam-mega,55,50,65,150,http://assets.pokemon.com/assets/cms2/img/pokedex/full/065_f2.png,current_timestamp,current_timestamp
73,machop,70,80,50,35,http://assets.pokemon.com/assets/cms2/img/pokedex/full/066.png,current_timestamp,current_timestamp
74,machoke,80,100,70,45,http://assets.pokemon.com/assets/cms2/img/pokedex/full/067.png,current_timestamp,current_timestamp
75,machamp,90,130,80,55,http://assets.pokemon.com/assets/cms2/img/pokedex/full/068.png,current_timestamp,current_timestamp
76,bellsprout,50,75,35,40,http://assets.pokemon.com/assets/cms2/img/pokedex/full/069.png,current_timestamp,current_timestamp
77,weepinbell,65,90,50,55,http://assets.pokemon.com/assets/cms2/img/pokedex/full/070.png,current_timestamp,current_timestamp
78,victreebel,80,105,65,70,http://assets.pokemon.com/assets/cms2/img/pokedex/full/071.png,current_timestamp,current_timestamp
79,tentacool,40,40,35,70,http://assets.pokemon.com/assets/cms2/img/pokedex/full/072.png,current_timestamp,current_timestamp
80,tentacruel,80,70,65,100,http://assets.pokemon.com/assets/cms2/img/pokedex/full/073.png,current_timestamp,current_timestamp
81,geodude,40,80,100,20,http://assets.pokemon.com/assets/cms2/img/pokedex/full/074.png,current_timestamp,current_timestamp
82,graveler,55,95,115,35,http://assets.pokemon.com/assets/cms2/img/pokedex/full/075.png,current_timestamp,current_timestamp
83,golem,80,120,130,45,http://assets.pokemon.com/assets/cms2/img/pokedex/full/076.png,current_timestamp,current_timestamp
84,ponyta,50,85,55,90,http://assets.pokemon.com/assets/cms2/img/pokedex/full/077.png,current_timestamp,current_timestamp
85,rapidash,65,100,70,105,http://assets.pokemon.com/assets/cms2/img/pokedex/full/078.png,current_timestamp,current_timestamp
86,slowpoke,90,65,65,15,http://assets.pokemon.com/assets/cms2/img/pokedex/full/079.png,current_timestamp,current_timestamp
87,slowbro,95,75,110,30,http://assets.pokemon.com/assets/cms2/img/pokedex/full/080.png,current_timestamp,current_timestamp
88,slowbro-mega,95,75,180,30,http://assets.pokemon.com/assets/cms2/img/pokedex/full/080_f2.png,current_timestamp,current_timestamp
89,magnemite,25,35,70,45,http://assets.pokemon.com/assets/cms2/img/pokedex/full/081.png,current_timestamp,current_timestamp
90,magneton,50,60,95,70,http://assets.pokemon.com/assets/cms2/img/pokedex/full/082.png,current_timestamp,current_timestamp
91,farfetchd,52,65,55,60,http://assets.pokemon.com/assets/cms2/img/pokedex/full/083.png,current_timestamp,current_timestamp
92,doduo,35,85,45,75,http://assets.pokemon.com/assets/cms2/img/pokedex/full/084.png,current_timestamp,current_timestamp
93,dodrio,60,110,70,100,http://assets.pokemon.com/assets/cms2/img/pokedex/full/085.png,current_timestamp,current_timestamp
94,seel,65,45,55,45,http://assets.pokemon.com/assets/cms2/img/pokedex/full/086.png,current_timestamp,current_timestamp
95,dewgong,90,70,80,70,http://assets.pokemon.com/assets/cms2/img/pokedex/full/087.png,current_timestamp,current_timestamp
96,grimer,80,80,50,25,http://assets.pokemon.com/assets/cms2/img/pokedex/full/088.png,current_timestamp,current_timestamp
97,muk,105,105,75,50,http://assets.pokemon.com/assets/cms2/img/pokedex/full/089.png,current_timestamp,current_timestamp
98,shellder,30,65,100,40,http://assets.pokemon.com/assets/cms2/img/pokedex/full/090.png,current_timestamp,current_timestamp
99,cloyster,50,95,180,70,http://assets.pokemon.com/assets/cms2/img/pokedex/full/091.png,current_timestamp,current_timestamp
100,gastly,30,35,30,80,http://assets.pokemon.com/assets/cms2/img/pokedex/full/092.png,current_timestamp,current_timestamp
101,haunter,45,50,45,95,http://assets.pokemon.com/assets/cms2/img/pokedex/full/093.png,current_timestamp,current_timestamp
102,gengar,60,65,60,110,http://assets.pokemon.com/assets/cms2/img/pokedex/full/094.png,current_timestamp,current_timestamp
103,gengar-mega,60,65,80,130,http://assets.pokemon.com/assets/cms2/img/pokedex/full/094_f2.png,current_timestamp,current_timestamp
104,onix,35,45,160,70,http://assets.pokemon.com/assets/cms2/img/pokedex/full/095.png,current_timestamp,current_timestamp
105,drowzee,60,48,45,42,http://assets.pokemon.com/assets/cms2/img/pokedex/full/096.png,current_timestamp,current_timestamp
106,hypno,85,73,70,67,http://assets.pokemon.com/assets/cms2/img/pokedex/full/097.png,current_timestamp,current_timestamp
107,krabby,30,105,90,50,http://assets.pokemon.com/assets/cms2/img/pokedex/full/098.png,current_timestamp,current_timestamp
108,kingler,55,130,115,75,http://assets.pokemon.com/assets/cms2/img/pokedex/full/099.png,current_timestamp,current_timestamp
109,voltorb,40,30,50,100,http://assets.pokemon.com/assets/cms2/img/pokedex/full/100.png,current_timestamp,current_timestamp
110,electrode,60,50,70,140,http://assets.pokemon.com/assets/cms2/img/pokedex/full/101.png,current_timestamp,current_timestamp
111,exeggcute,60,40,80,40,http://assets.pokemon.com/assets/cms2/img/pokedex/full/102.png,current_timestamp,current_timestamp
112,exeggutor,95,95,85,55,http://assets.pokemon.com/assets/cms2/img/pokedex/full/103.png,current_timestamp,current_timestamp
113,cubone,50,50,95,35,http://assets.pokemon.com/assets/cms2/img/pokedex/full/104.png,current_timestamp,current_timestamp
114,marowak,60,80,110,45,http://assets.pokemon.com/assets/cms2/img/pokedex/full/105.png,current_timestamp,current_timestamp
115,hitmonlee,50,120,53,87,http://assets.pokemon.com/assets/cms2/img/pokedex/full/106.png,current_timestamp,current_timestamp
116,hitmonchan,50,105,79,76,http://assets.pokemon.com/assets/cms2/img/pokedex/full/107.png,current_timestamp,current_timestamp
117,lickitung,90,55,75,30,http://assets.pokemon.com/assets/cms2/img/pokedex/full/108.png,current_timestamp,current_timestamp
